OBJECTID,NETWORK_AREA,CORRIDOR_ID,CORRIDOR_DESCR,LINK_ID,LINK_DESCR,LINK_FROM,LINK_TO,LINK_FLOW,LINK_DIRN,LINK_SEQ,GEOLOCSTLength
6185374,South West,5018,Kwinana Ramps,5617,South St on to Kwinana Fwy (Northbound) Ramp,South St And South St on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And South St on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00577513089499794
6185375,South West,5018,Kwinana Ramps,5685,Berrigan Dr on to Kwinana Fwy (Northbound) Ramp,Berrigan Dr And Berrigan Dr on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Berrigan Dr on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00374487211355331
6185376,South West,5018,Kwinana Ramps,5689,Armadale Rd on to Kwinana Fwy (Northbound) Ramp,Armadale Rd And Armadale Rd on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Armadale Rd on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.0067530912191283
6185377,South West,5018,Kwinana Ramps,5693,Russell Rd on to Kwinana Fwy (Northbound) Ramp,Russell Rd And Russell Rd on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Russell Rd on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00553157213969218
6185378,South West,5018,Kwinana Ramps,5697,Rowley Rd on to Kwinana Fwy (Northbound) Ramp,Rowley Rd And Rowley Rd on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Rowley Rd on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00258067858805893
6185379,South West,5018,Kwinana Ramps,5701,Anketell Rd on to Kwinana Fwy (Northbound) Ramp,Anketell Rd And Anketell Rd on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Anketell Rd on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00323788976376433
6185380,South West,5018,Kwinana Ramps,5705,Thomas Rd on to Kwinana Fwy (Northbound) Ramp,Thomas Rd And Thomas Rd on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Thomas Rd on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00288532889207184
6185381,South West,5018,Kwinana Ramps,5709,Mortimer Rd on to Kwinana Fwy (Northbound) Ramp,Mortimer Rd And Mortimer Rd on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Mortimer Rd on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00306122562132876
6185382,South West,5018,Kwinana Ramps,5713,Mundijong Rd on to Kwinana Fwy (Northbound) Ramp,Kulija Rd And Mundijong Rd on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Mundijong Rd on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00324855568855344
6185383,North West,5003,Mitchell Ramps,5613,Ocean Reef Rd on to Mitchell Fwy (Southbound) Ramp,Ocean Reef Rd And Ocean Reef Rd on to Mitchell Fwy (Southbound) Ramp,Mitchell Fwy And Ocean Reef Rd on to Mitchell Fwy (Southbound) Ramp,I,S,1,0.00294886006579656
6185384,South West,5018,Kwinana Ramps,5547,Manning Rd on to Kwinana Fwy (Northbound) Ramp,Manning Rd And Manning Rd on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Manning Rd on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00407752774689486
