osmid,risk_lvl
"[1868929548, 1868858923, 1868929492, 1868858924]",1
"[271326970, 271326971, 6241530979, 1868858947, 6241530982, 6241531186, 1868858946, 6241530983, 6241530975]",2
1868858949,1
6241545142,0
"[271844771, 1868930050, 1868930073]",0
"[271837081, 6200259761, 271837179, 271837082, 1868858922, 6200259759, 1868858914, 1868858915, 6200259762]",0
1868858950,0
"[271352178, 6241669476, 6241669482, 6241669460, 6241669475]",1
6241669484,1
6241669887,1
"[6241669470, 823981077]",1
"[271352181, 6241669899]",1
271839245,1
6241669901,0
"[271352188, 5557646748, 6241545147, 3521923882, 6241545132, 5557646747, 6241545143, 6241545146, 6241545151]",1
5557646749,0
"[271353505, 5756937918, 271353506, 5756938640, 5756938625, 5756938629]",0
6241545137,0
"[852330851, 852330791, 852330817, 852330867, 852330841, 6241570411]",0
"[6241554327, 6241554329]",1
272653569,1
6241570412,1
"[271353509, 854215575]",1
271847936,2
6241554317,1
271847987,2
271847959,2
"[854215574, 6241554314]",2
"[271353522, 6236336519]",0
"[6236343159, 272653577, 854222321, 6236343160]",2
6236336524,3
"[271848068, 854215628]",1
"[271861764, 854215619]",2
6236343163,1
6236336516,1
271861812,0
"[271353527, 854215675, 6236364774, 6236364775]",0
"[6236365785, 271861606, 854215617, 6236365786]",1
6236364778,0
6236364783,0
271354050,1
271861800,0
271861986,1
"[271861672, 271862206]",1
271847923,1
271861991,1
"[271354057, 271848800]",1
"[1867785427, 1867785452, 1867785428, 1867785410, 1867785434, 6236336527, 1867785444]",1
271848819,1
271862351,1
"[1867785385, 1867785389]",1
"[271354694, 6241597046, 6241597061, 6241597060, 6241597041, 6241597042, 6241597047, 6241597050, 6241597055]",1
273113857,0
273113291,0
273113847,1
273113938,0
271354698,0
273113383,1
273114137,1
273113493,2
273113470,1
273113957,1
273114228,1
"[271354701, 6241622462, 6241622471, 6241622470, 6241622448, 6241622452, 6241622454, 6241622457, 6241622459]",1
273113177,1
273114231,1
271354716,1
271847739,1
271847580,1
273112209,1
271847773,1
789231400,1
271847614,1
271354724,0
273112208,1
273112369,1
"[6241611680, 271847158]",1
"[273112075, 273112128]",1
"[6241612293, 1860896339, 6241612294, 850395562, 850395565, 850395571, 1860896341, 1860896343, 6241612291]",1
271847163,1
273112086,1
273112262,2
271354741,1
645801738,1
271846474,2
645801759,1
823957107,1
823956888,1
645801689,2
271846498,0
271846496,0
"[1867785553, 6241680307, 1867785521, 6241680319, 1867785527, 1867785567]",0
645801647,0
271354750,1
271846509,1
271354752,1
271846398,0
271846482,2
"[271847271, 271846409]",1
271846533,0
271846516,2
271847269,1
271846403,2
271847005,1
271847285,1
271847061,0
271847095,0
"[271355046, 6229694441, 6229694431, 1860896070, 6229694450, 6229694442, 6229694434]",0
"[1860896014, 1860896071]",0
271355049,0
"[276645621, 276645600, 6229694451, 1860896075, 6229694447, 6229694452]",0
271355050,0
276646827,0
276647302,0
276647216,0
276647303,1
"[271355103, 6241596997]",2
